Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 12.01.2023,1754,16,3,12.01.2023,074'05,23:19:53 - 00:33:58," 23:19:53 - 00:33:58 074'05 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (GenSekr SPD), Kerstin MÜNSTERMANN (Journalistin, ""Rheinische Post""), Hasnain KAZIM (Journalist), Claudia MAJOR (Sicherheitsexpertin) ",Kevin KÜHNERT,GenSekr SPD,Kerstin MÜNSTERMANN,"Journalistin, ""Rheinische Post""",Hasnain KAZIM,Journalist,Claudia MAJOR,Sicherheitsexpertin,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.01.2023,1755,16,4,17.01.2023,075'43,22:58:50 - 00:14:33," 22:58:50 - 00:14:33 075'43 O-Ton Interview Markus LANZ mit den Studiogästen Marie-Agnes STRACK-ZIMMERMANN (FDP, Vors Verteidigungsausschuss des Bundestages), Pauline BRÜNGER (Fridays for Future), Nikolaus BLOME (Journalist, RTL), Sönke NEITZEL (Historiker, Professor für Militärgeschichte) ",Agnes STRACK-ZIMMERMANN,"FDP, Vors Verteidigungsausschuss des Bundestages",Pauline BRÜNGER,Fridays for Future,Nikolaus BLOME,"Journalist, RTL",Sönke NEITZEL,"Historiker, Professor für Militärgeschichte",,,,,,,,,,,,,,,,,,
 Markus Lanz 18.01.2023,1756,16,5,18.01.2023,076'11,23:16:44 - 00:32:55," 23:16:44 - 00:32:55 076'11 O-Ton Interview Markus LANZ mit den Studiogästen Anton HOFREITER (Bündnis 90 / Die Grünen), Julia LÖHR (Journalistin, ""FAZ""), Robin ALEXANDER (Journalist, ""Welt""), David DRESEN (Initiative ""Alle Dörfer bleiben"") ",Anton HOFREITER,Bündnis 90 / Die Grünen,Julia LÖHR,"Journalistin, ""FAZ""",Robin ALEXANDER,"Journalist, ""Welt""",David DRESEN,"Initiative ""Alle Dörfer bleiben""",,,,,,,,,,,,,,,,,,
 Markus Lanz 19.01.2023,1757,16,6,19.01.2023,074'55,23:17:06 - 00:32:01," 23:17:06 - 00:32:01 074'55 O-Ton Interview Markus LANZ mit den Studiogästen Daniel GÜNTHER (MPr Schleswig-Holsteins, CDU), Roman PLETTER (Journalist, ""Zeit""), Cordula HECKMANN (Schulleiterin Rütli-Schule in Berlin-Neukölln) und Heinz-Peter MEIDINGER (Pädagoge, Präs Deutscher Lehrerverband) ",Daniel GÜNTHER,"MPr Schleswig-Holsteins, CDU",Roman PLETTER,"Journalist, ""Zeit""",Cordula HECKMANN,Schulleiterin Rütli-Schule in Berlin-Neukölln,Peter MEIDINGER,"Pädagoge, Präs Deutscher Lehrerverband",,,,,,,,,,,,,,,,,,
 Markus Lanz 24.01.2023,1758,16,7,24.01.2023,075'16,22:46:26 - 00:01:42," 22:46:26 - 00:01:42 075'16 O-Ton Interview Markus LANZ mit den Studiogästen Michael ROTH (Vors Auswärtiger Ausschuss, SPD), Christian MÖLLING (Sicherheitsexperte), Ulrike HERRMANN (Journalistin, ""taz"") und Dmitry GLUKHOVSKY (Autor) ",Michael ROTH,"Vors Auswärtiger Ausschuss, SPD",Christian MÖLLING,Sicherheitsexperte,Ulrike HERRMANN,"Journalistin, ""taz""",Dmitry GLUKHOVSKY,Autor,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.01.2023,1759,16,8,25.01.2023,075'08,23:40:01 - 00:55:09," 23:40:01 - 00:55:09 075'08 O-Ton Interview Markus LANZ mit den Studiogästen Omid NOURIPOUR (Vors Bündnis 90 / Die Grünen), Elmar THEVEßEN (Journalist, Leiter ZDF-Studio Washington, Zuschaltung ",Omid NOURIPOUR,Vors Bündnis 90 / Die Grünen,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.01.2023,1760,16,9,26.01.2023,075'27,23:19:05 - 00:34:32," 23:19:05 - 00:34:32 075'27 O-Ton Interview Markus LANZ mit den Studiogästen Jens SPAHN (CDU, ehem BMG)",Jens SPAHN,"CDU, ehem BMG",,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 31.01.2023,1761,16,10,31.01.2023,075'58,22:46:06 - 00:02:04, 22:46:06 - 00:02:04 075'58 O-Ton Interview Markus LANZ mit den Studiogästen BMWK Robert HABECK (Bündnis 90 / Die Grünen,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.02.2023,1762,16,11,01.02.2023,074'02,23:14:18 - 00:28:20," 23:14:18 - 00:28:20 074'02 O-Ton Interview Markus LANZ mit den Studiogästen Sabine LEUTHEUSSER-SCHNARRENBERGER (FDP, ehem BMJ), Andrea TITZ (Richterin, Vors Deutscher Richterbund), Gregor Peter SCHMITZ (Chefredakteur ""Stern"") und Hamed ABDEL-SAMAD (Politologe) ",Sabine LEUTHEUSSER-SCHNARRENBERGER,"FDP, ehem BMJ",Andrea TITZ,"Richterin, Vors Deutscher Richterbund",Gregor Peter SCHMITZ,"Chefredakteur ""Stern""",Hamed ABDEL-SAMAD,Politologe,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.02.2023,1763,16,12,02.02.2023,073'43,23:17:16 - 00:30:59," 23:17:16 - 00:30:59 073'43 O-Ton Interview Markus LANZ mit den Studiogästen Jürgen TRITTIN (Bündnis 90 / Die Grünen), Joe KAESER (Ex-Vorstandschef Siemens), Ursula WEIDENFELD (Journalistin), Janka OERTEL (Sinologin, ""European Council on Foreign Relations) ",Jürgen TRITTIN,Bündnis 90 / Die Grünen,Joe KAESER,Ex-Vorstandschef Siemens,Ursula WEIDENFELD,Journalistin,Janka OERTEL,"Sinologin, ""European Council on Foreign Relations",,,,,,,,,,,,,,,,,,
 Markus Lanz 07.02.2023,1764,16,13,07.02.2023,076'13,22:46:37 - 00:02:50," 22:46:37 - 00:02:50 076'13 O-Ton Interview Markus LANZ mit den Studiogästen Saskia ESKEN (Vors SPD), Veit MEDICK (Journalist, ""Spiegel""), Christoph HEUSGEN (Diplomat, Vors Münchner Sicherheitskonferenz) und Wolfgang MERKEL (Politologe) ",Saskia ESKEN,Vors SPD,Veit MEDICK,"Journalist, ""Spiegel""",Christoph HEUSGEN,"Diplomat, Vors Münchner Sicherheitskonferenz",Wolfgang MERKEL,Politologe,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.02.2023,1765,16,14,08.02.2023,076'41,23:14:09 - 00:30:50," 23:14:09 - 00:30:50 076'41 O-Ton Interview Markus LANZ mit den Studiogästen Paul ZIEMIAK (Politiker, CDU), Helene BUBROWSKI (Journalistin, ""FAZ""), Michael THUMANN (Journalist, ""Die Zeit"") und Claudia MAJOR (Expertin für Sicherheitspolitik) ",Paul ZIEMIAK,"Politiker, CDU",Helene BUBROWSKI,"Journalistin, ""FAZ""",Michael THUMANN,"Journalist, ""Die Zeit""",Claudia MAJOR,Expertin für Sicherheitspolitik,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.02.2023,1766,16,15,09.02.2023,076'40,23:19:25 - 00:36:05," 23:19:25 - 00:36:05 076'40 O-Ton Interview Markus LANZ mit den Studiogästen BMG Karl LAUTERBACH (SPD), Markus GRILL (Journalist, NDR/WDR), Dr Agnes GENEWEIN (Ärztin) und Heribert PRANTL (Journalist, ""Süddeutsche Zeitung"") ",Karl LAUTERBACH,SPD,Markus GRILL,"Journalist, NDR/WDR",Dr Agnes GENEWEIN,Ärztin,Heribert PRANTL,"Journalist, ""Süddeutsche Zeitung""",,,,,,,,,,,,,,,,,,
 Markus Lanz 14.02.2023,1767,16,16,14.02.2023,076'48,22:45:41 - 00:02:29," 22:45:41 - 00:02:29 076'48 O-Ton Interview Markus LANZ mit den Studiogästen Serap GÜLER (Politikerin, CDU), Jens Marco SCHERF (Landrat von Miltenberg, Bündnis 90 / Die Grünen), Martin MACHOWECZ (Journalist, ""Die Zeit""), Julia ZEH (Autorin) ",Serap GÜLER,"Politikerin, CDU",Jens Marco SCHERF,"Landrat von Miltenberg, Bündnis 90 / Die Grünen",Martin MACHOWECZ,"Journalist, ""Die Zeit""",Julia ZEH,Autorin,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.02.2023,1768,16,17,15.02.2023,045'40,00:01:23 - 00:47:03, 00:01:23 - 00:47:03 045'40 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington) und Adrian GEIGES (Autor) ,Elmar THEVEßEN,Leiter ZDF-Studio Washington,Adrian GEIGES,Autor,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.02.2023,1769,16,18,16.02.2023,075'07,23:13:26 - 00:28:33," 23:13:26 - 00:28:33 075'07 O-Ton Interview Markus LANZ mit den Studiogästen Gerald KNAUS (Soziologe), Güner BALCI (Integrationsbeauftragte in Berlin-Neukölln), Ralf STEGNER (MdB, SPD), und Boris PALMER (OB Tübingen, parteilos) ",Gerald KNAUS,Soziologe,Güner BALCI,Integrationsbeauftragte in Berlin-Neukölln,Ralf STEGNER,"MdB, SPD",Boris PALMER,"OB Tübingen, parteilos",,,,,,,,,,,,,,,,,,
 Markus Lanz 21.02.2023,1770,16,19,21.02.2023,075'52,22:47:49 - 00:03:41," 22:47:49 - 00:03:41 075'52 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (GenSekr SPD), Sahra WAGENKNECHT (Politikerin, Die Linke), Marina OWSJANNIKOWA (Journalistin), Ljudmyla MELNYK (Politikwissenschaftlerin, ""Institut für Europäische Politik"") ",Kevin KÜHNERT,GenSekr SPD,Sahra WAGENKNECHT,"Politikerin, Die Linke",Marina OWSJANNIKOWA,Journalistin,Ljudmyla MELNYK,"Politikwissenschaftlerin, ""Institut für Europäische Politik""",,,,,,,,,,,,,,,,,,
 Markus Lanz 22.02.2023,1771,16,20,22.02.2023,047'22,23:59:24 - 00:46:46, 23:59:24 - 00:46:46 047'22 O-Ton Interview Markus LANZ mit den Studiogast BMVE Boris PISTORIUS (SPD) ,Boris PISTORIUS,SPD,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.02.2023,1772,16,21,23.02.2023,075'42,23:17:44 - 00:33:26," 23:17:44 - 00:33:26 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Norbert RÖTTGEN (CDU), Margarete KLEIN (Politologin), Michael THUMANN (Journalist, ""Zeit""-Moskaukorrespondent) und Adrian GEIGES (Autor) ",Norbert RÖTTGEN,CDU,Margarete KLEIN,Politologin,Michael THUMANN,"Journalist, ""Zeit""-Moskaukorrespondent",Adrian GEIGES,Autor,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.02.2023,1773,16,22,28.02.2023,076'24,23:12:46 - 00:29:10," 23:12:46 - 00:29:10 076'24 O-Ton Interview Markus LANZ mit den Studiogästen Roderich KIESEWTTER (Politiker, CDU), Johannes VARWICK (Politikwissenschaftler), Rieke HAVERTZ (Journalistin, ""Zeit Online""), Kristin HELBERG (Journalistin, Nahost-Expertin) ",Roderich KIESEWTTER,"Politiker, CDU",Johannes VARWICK,Politikwissenschaftler,Rieke HAVERTZ,"Journalistin, ""Zeit Online""",Kristin HELBERG,"Journalistin, Nahost-Expertin",,,,,,,,,,,,,,,,,,
 Markus Lanz 01.03.2023,1774,16,23,01.03.2023,075'39,23:19:08 - 00:34:47," 23:19:08 - 00:34:47 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Michail CHODORKOWSKI (ehem russischer Oligarch und Kreml-Kritiker, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.03.2023,1775,16,24,02.03.2023,075'56,23:20:11 - 00:36:07," 23:20:11 - 00:36:07 075'56 O-Ton Interview Markus LANZ mit den Studiogästen Christian DÜRR (Politiker, FDP), Petra PINZLER (Journalistin, ""Die Zeit""), Belit ONAY (OB Hannover, Bündnis 90 / die Grünen) ",Christian DÜRR,"Politiker, FDP",Petra PINZLER,"Journalistin, ""Die Zeit""",Belit ONAY,"OB Hannover, Bündnis 90 / die Grünen",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.03.2023,1776,16,25,07.03.2023,073'57,23:14:55 - 00:28:52," 23:14:55 - 00:28:52 073'57 O-Ton Interview Markus LANZ mit den Studiogästen Joachim STAMP (Migrationsbeauftragter der Bundesregierung, FDP), Martin MACHOWECZ (Journalist, ""Zeit""), Kristin HELBERG (Journalistin) und Seyran ATES (Juristin, Frauenrechtlerin) ",Joachim STAMP,"Migrationsbeauftragter der Bundesregierung, FDP",Martin MACHOWECZ,"Journalist, ""Zeit""",Kristin HELBERG,Journalistin,Seyran ATES,"Juristin, Frauenrechtlerin",,,,,,,,,,,,,,,,,,
 Markus Lanz 08.03.2023,1777,16,26,08.03.2023,045'17,00:01:50 - 00:47:07," 00:01:50 - 00:47:07 045'17 O-Ton Interview Markus LANZ mit den Studiogästen Gazelle SHARMAHD (Aktivistin, Tochter von SHARMAHD (Aktivistin, Tochter von Jamshid Sharmahd, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.03.2023,1778,16,27,09.03.2023,074'24,23:16:38 - 00:31:02," 23:16:38 - 00:31:02 074'24 O-Ton Interview Markus LANZ mit den Studiogästen Thomas DE MAIZIERE (CDU, ehem Bundesminister), Sascha LOBO (Journalist), Alena BUYX (Vors Deutscher Ethikrat) und Bob BLUME (Pädagoge) ",Thomas DE,"CDU, ehem Bundesminister",Sascha LOBO,Journalist,Alena BUYX,Vors Deutscher Ethikrat,Bob BLUME,Pädagoge,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.03.2023,1779,16,28,14.03.2023,075'42,23:00:06 - 00:15:48," 23:00:06 - 00:15:48 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Johannes VOGEL (stellv Vors FDP), Roman PLETTER (Journalist, ""ZEIT""), Marlene ENGELHORN (Millionenerbin, Zuschaltung ",Johannes VOGEL,stellv Vors FDP,Roman PLETTER,"Journalist, ""ZEIT""",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.03.2023,1780,16,29,15.03.2023,044'44,00:00:18 - 00:45:02," 00:00:18 - 00:45:02 044'44 O-Ton Interview Markus LANZ mit den Studiogästen Dr Melanie MÜLLER (Politologin) und Joe CHIALO (Politiker, CDU) ",Dr Melanie MÜLLER,Politologin,Joe CHIALO,"Politiker, CDU",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.03.2023,1781,16,30,16.03.2023,075'56,23:15:52 - 00:31:48," 23:15:52 - 00:31:48 075'56 O-Ton Interview Markus LANZ mit den Studiogästen Mojib LATIF (Klimaforscher, Präs deutscher ""Club of Rome""), Philipp SCHRÖDER (Unternehmer), Julia LÖHR (Journalistin, ""FAZ"") und Torsten BECKER (Unternehmer) ",Mojib LATIF,"Klimaforscher, Präs deutscher ""Club of Rome""",Philipp SCHRÖDER,Unternehmer,Julia LÖHR,"Journalistin, ""FAZ""",Torsten BECKER,Unternehmer,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.03.2023,1782,16,31,21.03.2023,075'58,23:15:24 - 00:31:22," 23:15:24 - 00:31:22 075'58 O-Ton Interview Markus LANZ mit den Studiogästen Anton HOFREITER (MdB Bündnis 90 / Die Grünen), Antje HÖNING (Journalistin, Leiterin Wirtschaftsressort ""Rheinische Post""), Daniela SCHWARZER (Politologin, Honorarprofessorin Freie Universität Berlin) und Forian FLADE (Reporter, Investigativjournalist der Recherchekooperation von NDR, WDR und Süddeutsche Zeitung) ",Anton HOFREITER,MdB Bündnis 90 / Die Grünen,Antje HÖNING,"Journalistin, Leiterin Wirtschaftsressort ""Rheinische Post""",Daniela SCHWARZER,"Politologin, Honorarprofessorin Freie Universität Berlin",Forian FLADE,"Reporter, Investigativjournalist der Recherchekooperation von NDR, WDR und Süddeutsche Zeitung",,,,,,,,,,,,,,,,,,
 Markus Lanz 22.03.2023,1783,16,32,22.03.2023,075'14,23:16:31 - 00:31:45," 23:16:31 - 00:31:45 075'14 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.03.2023,1784,16,33,23.03.2023,075'23,23:19:24 - 00:34:47," 23:19:24 - 00:34:47 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Sebastian FIEDLER (Kriminalbeamter, MdB SDP), Sibylle WINTER (Kinderpsychiaterin, leitende Oberärztin der Klinik für Psychiatrie im Kindes- und Jugendalter der Berliner Charité), Birgit KIMMEL (Pädagogin, Leiterin der EU-Initiative ""klicksafe"") und Marcus ENGERT (Journalist, NDR) ",Sebastian FIEDLER,"Kriminalbeamter, MdB SDP",Sibylle WINTER,"Kinderpsychiaterin, leitende Oberärztin der Klinik für Psychiatrie im Kindes- und Jugendalter der Berliner Charité",Birgit KIMMEL,"Pädagogin, Leiterin der EU-Initiative ""klicksafe""",Marcus ENGERT,"Journalist, NDR",,,,,,,,,,,,,,,,,,
 Markus Lanz 28.03.2023,1785,16,34,28.03.2023,076'39,22:45:57 - 00:02:36," 22:45:57 - 00:02:36 076'39 O-Ton Interview Markus LANZ mit den Studiogästen BMWK Robert HABECK (Bündnis 90 / Die Grünen, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.03.2023,1786,16,35,29.03.2023,075'15,23:14:11 - 00:29:26," 23:14:11 - 00:29:26 075'15 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (GenSekr SPD), Ursula WEIDENFELD (Journalistin), Lamia MESSARI-BECKER (Bauingenieurin, Professorin für Gebäudetechnologie und Bauphysik) und Michael BRÖCKER (Journalist, ""The Pioneer"") ",Kevin KÜHNERT,GenSekr SPD,Ursula WEIDENFELD,Journalistin,Lamia MESSARI-BECKER,"Bauingenieurin, Professorin für Gebäudetechnologie und Bauphysik",Michael BRÖCKER,"Journalist, ""The Pioneer""",,,,,,,,,,,,,,,,,,
 Markus Lanz 30.03.2023,1787,16,36,30.03.2023,075'26,23:18:20 - 00:33:46," 23:18:20 - 00:33:46 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Bernd RIEXINGER (ehem Vors Die Linke), Anne HÄHNIG (Journalistin, ""ZEIT""), Werner HENNING (CDU, Landrat Eichsfeld / Thüringen) und Olivia KORTAS (Journalistin) ",Bernd RIEXINGER,ehem Vors Die Linke,Anne HÄHNIG,"Journalistin, ""ZEIT""",Werner HENNING,"CDU, Landrat Eichsfeld / Thüringen",Olivia KORTAS,Journalistin,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.04.2023,1788,16,37,04.04.2023,075'45,22:46:49 - 00:02:34," 22:46:49 - 00:02:34 075'45 O-Ton Interview Markus LANZ mit den Studiogästen Johannes HANO (Journalist, ZDF, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.04.2023,1789,16,38,05.04.2023,077'03,23:14:14 - 00:31:17," 23:14:14 - 00:31:17 077'03 O-Ton Interview Markus LANZ mit den Studiogästen BMJ Marco BUSCHMANN (FDP), Henrike ROßBACH (Journalistin, ""SZ""), Dirk PEGLOW (Polizist, Vors BDK (Bund Deutscher Kriminalbeamter)) und Anette DOWIDEIT (Journalistin, ""Welt) ",Marco BUSCHMANN,FDP,Henrike ROßBACH,"Journalistin, ""SZ""",Dirk PEGLOW,Bund Deutscher Kriminalbeamter,Vors BDK,Bund Deutscher Kriminalbeamter,Anette DOWIDEIT,"Journalistin, ""Welt",,,,,,,,,,,,,,,,
 Markus Lanz 06.04.2023,1790,16,39,06.04.2023,076'11,22:15:09 - 23:31:20," 22:15:09 - 23:31:20 076'11 O-Ton Interview Markus LANZ mit den Studiogästen Martin HUBER (GenSekr CSU), Kristina DUNZ (Journalistin, ""RedaktionsNetzwerk Deutschland""), Pauline BRÜNGER (Klimaaktivistin, ""Fridays for Future""), Johannes LACKMANN (Windkraftunternehmer) ",Martin HUBER,GenSekr CSU,Kristina DUNZ,"Journalistin, ""RedaktionsNetzwerk Deutschland""",Pauline BRÜNGER,"Klimaaktivistin, ""Fridays for Future""",Johannes LACKMANN,Windkraftunternehmer,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.04.2023,1791,16,40,11.04.2023,076'12,23:14:07 - 00:30:19," 23:14:07 - 00:30:19 076'12 O-Ton Interview Markus LANZ mit den Studiogästen Michael OTTO (Unternehmer), Carla REEMTSMA (Klimaaktivistin), Kathrin HARTMANN (Journalistin) und Simon JÄGER (Arbeitsmarkt-Ökonom, Chef Bonner Institut zur Zukunft der Arbeit (IZA)) ",Michael OTTO,Unternehmer,Carla REEMTSMA,Klimaaktivistin,Kathrin HARTMANN,Journalistin,Simon JÄGER,IZA,Chef Bonner I,IZA,,,,,,,,,,,,,,,,
 Markus Lanz 12.04.2023,1792,16,41,12.04.2023,045'45,00:01:24 - 00:47:09," 00:01:24 - 00:47:09 045'45 O-Ton Interview Markus LANZ mit den Studiogästen Roderich KIESEWTTER (Politiker, CDU) und Rüdiger LUCASSEN (Politiker, AfD) ",Roderich KIESEWTTER,"Politiker, CDU",Rüdiger LUCASSEN,"Politiker, AfD",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.04.2023,1793,16,42,13.04.2023,076'23,23:18:45 - 00:35:08," 23:18:45 - 00:35:08 076'23 O-Ton Interview Markus LANZ mit den Studiogästen Franziska GIFFEY (RBm Berlin, SPD), Michael BRÖCKER (Journalist, ""The Pioneer""), Christine LEMAITRE (Bauingenieurin) und Fabienne HOELZEL (Architektin) ",Franziska GIFFEY,"RBm Berlin, SPD",Michael BRÖCKER,"Journalist, ""The Pioneer""",Christine LEMAITRE,Bauingenieurin,Fabienne HOELZEL,Architektin,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.04.2023,1794,16,43,18.04.2023,077'04,22:44:44 - 00:01:48," 22:44:44 - 00:01:48 077'04 O-Ton Interview Markus LANZ mit den Studiogästen Jürgen TRITTIN (MdB, Bündnis 90 / Die Grünen), Cordula TUTT (Journalistin, ""WirtschaftsWoche""), Claus Ruhe MADSEN (Minister für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus, Schleswig-Holstein, parteilos) und Kai STRITTMATTER (Journalist, Chinakorrespondent ""SZ"") ",Jürgen TRITTIN,"MdB, Bündnis 90 / Die Grünen",Cordula TUTT,"Journalistin, ""WirtschaftsWoche""",Claus Ruhe MADSEN,"Minister für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus, Schleswig-Holstein, parteilos",Kai STRITTMATTER,"Journalist, Chinakorrespondent ""SZ""",,,,,,,,,,,,,,,,,,
 Markus Lanz 19.04.2023,1795,16,44,19.04.2023,044'38,00:04:10 - 00:48:48," 00:04:10 - 00:48:48 044'38 O-Ton Interview Markus LANZ mit den Studiogästen Britta PETERSEN (Journalistin, ehem Neu-Delhi-Korrespondentin ""Financial Times"") und Ranga YOGESHWAR (Moderator) ",Britta PETERSEN,"Journalistin, ehem Neu-Delhi-Korrespondentin ""Financial Times""",Ranga YOGESHWAR,Moderator,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.04.2023,1796,16,45,20.04.2023,074'35,23:17:58 - 00:32:33," 23:17:58 - 00:32:33 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Helene BUBROWSKI (Journalistin, ""FAZ""), Christian BÖTTGER (Prof Wirtschaftsingenieurwesen) und Michael THEURER (Parlamentarischer Staatssekretär im Bundesverkehrsministerium, Schienenbeauftragter Bund, FDP) ",Stephan WEIL,"MPr Niedersachsen, SPD",Helene BUBROWSKI,"Journalistin, ""FAZ""",Christian BÖTTGER,Prof Wirtschaftsingenieurwesen,Michael THEURER,"Parlamentarischer Staatssekretär im Bundesverkehrsministerium, Schienenbeauftragter Bund, FDP",,,,,,,,,,,,,,,,,,
 Markus Lanz 25.04.2023,1797,16,46,25.04.2023,077'31,22:59:36 - 00:17:07," 22:59:36 - 00:17:07 077'31 O-Ton Interview Markus LANZ mit den Studiogästen Christian DÜRR (Fraktionsvors FDP), Kerstin MÜNSTERMANN (Journalistin, Rheinische Post), Isabella WEBER (Ökonomin) und Felix LEE (Autor, Journalist, China-Experte) ",Christian DÜRR,Fraktionsvors FDP,Kerstin MÜNSTERMANN,"Journalistin, Rheinische Post",Isabella WEBER,Ökonomin,Felix LEE,"Autor, Journalist, China-Experte",,,,,,,,,,,,,,,,,,
 Markus Lanz 26.04.2023,1798,16,47,26.04.2023,075'48,23:17:05 - 00:32:53," 23:17:05 - 00:32:53 075'48 O-Ton Interview Markus LANZ mit den Studiogästen BMBAU Klara GEYWITZ (SPD), Julia LÖHR (Journalistin ""FAZ""), Peter WOHLLEBEN (Forstwirt), Tim VON WINNING (Baubürgermeitser Ulm) ",Klara GEYWITZ,SPD,Julia LÖHR,"Journalistin ""FAZ""",Peter WOHLLEBEN,Forstwirt,Tim VON,Baubürgermeitser Ulm,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.04.2023,1799,16,48,27.04.2023,074'20,23:20:54 - 00:35:14," 23:20:54 - 00:35:14 074'20 O-Ton Interview Markus LANZ mit den Studiogästen BMG Karl LAUTERBACH (SPD), Herbert GRÖNEMEYER (Musiker) und Yasmine M'BAREK (Journalistin, ""Zeit"") ",Karl LAUTERBACH,SPD,Herbert GRÖNEMEYER,Musiker,Yasmine M,"Journalistin, ""Zeit""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.05.2023,1800,16,49,02.05.2023,074'35,23:05:15 - 00:19:50," 23:05:15 - 00:19:50 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (MPr Bayern, CSU), Kristina DUNZ (Journalistin, ""RedaktionsNetzwerk Deutschland"") und Marcel FRATZSCHER (Ökonom, Präs Deutsches Institut für Wirtschaftsforschung) ",Markus SÖDER,"MPr Bayern, CSU",Kristina DUNZ,"Journalistin, ""RedaktionsNetzwerk Deutschland""",Marcel FRATZSCHER,"Ökonom, Präs Deutsches Institut für Wirtschaftsforschung",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.05.2023,1801,16,50,03.05.2023,074'03,23:14:01 - 00:28:04," 23:14:01 - 00:28:04 074'03 O-Ton Interview Markus LANZ mit den Studiogästen Gazelle SHARMAHD (Aktivistin, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.05.2023,1802,16,51,04.05.2023,076'17,23:18:54 - 00:35:11," 23:18:54 - 00:35:11 076'17 O-Ton Interview Markus LANZ mit den Studiogästen Karin PRIEN (Kultusministerin Schleswig-Holstein, CDU), Eva QUADBECK (Chefredakteurin ""RedaktionsNetzwerk Deutschland""), Silke MÜLLER (Pädagogin) und Frederik OBERMAIER (Journalist) ",Karin PRIEN,"Kultusministerin Schleswig-Holstein, CDU",Eva QUADBECK,"Chefredakteurin ""RedaktionsNetzwerk Deutschland""",Silke MÜLLER,Pädagogin,Frederik OBERMAIER,Journalist,,,,,,,,,,,,,,,,,,
