ID,Datum,Talkshow,Inhalt
maischberger-ard_837-sendung-vom-16-10-2024-1752910,2024-10-16,maischberger,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen. Die Gäste: * Katharina Dröge, Bündnis’90/​Die Grünen (Fraktionsvorsitzende) * Jens Spahn, CDU (stellv. Fraktionsvorsitzender) * Sönke Neitzel (Militärhistoriker) * Theo Koll (TV-Moderator und Journalist) * Alev Doğan (The Pioneer) * Markus Feldenkirchen (Der Spiegel) (Text:ARD)"
markus-lanz_1431-folge-1431-1404487,2020-09-10,Markus Lanz,"Peter Altmaier, Politiker Der Bundeswirtschaftsminister (CDU) äußert sich zu den Ergebnissen des Autogipfels, zur Wirksamkeit der Corona-Hilfspakte und zu seinem weiteren Kurs in der Krise. Ferdinand Dudenhöffer, Ökonom Der Professor für Automobilwirtschaft spricht über den Zustand der deutschen Autobranche und erläutert, welche Mobilitätskonzepte und Antriebstechnologien er für zukunftsfähig hält. Ferdinand von Schirach, Autor In seinem neuen Buch „Gott“ fordert der Jurist zur einer Auseinandersetzung mit dem Thema Sterbehilfe auf. Über sich selbst sagt er: „Ich würde sehr gern selbstbestimmt sterben.“ Christina Berndt, Journalistin Die „SZ“-Medizinjournalistin gibt einen Überblick über die globale Verbreitung des Corona-Virus und erklärt, warum das Infektionsgeschehen von Land zu Land so unterschiedlich ist. (Text:ZDF)"
markus-lanz_1258-folge-1258-1288276,2019-05-21,Markus Lanz,"Corinna Milborn, Moderatorin Sie moderiert in Österreich die politische Talkshow „Pro & Contra“. Milborn äußert sich zum Rücktritt von Vize-Kanzler Strache und erzählt von ihren Erfahrungen mit FPÖ-Politikern. Bastian Obermayer, Journalist Der Journalist der „Süddeutschen Zeitung“ sah bereits vor einiger Zeit das Video mit Straches brisanten Aussagen. In der Sendung spricht Obermayer über Straches Äußerungen. Frederik Obermaier, Journalist Gemeinsam mit seinen Kollegen machte er die „Ibiza-Affäre“ öffentlich. Obermaier sagt: „Für uns ist das Entscheidende der Inhalt des Videos, der klar von öffentlichem Interesse ist.“ Herman van Veen, Entertainer Seit über 50 Jahren ist er als Musiker und Entertainer auf der Bühne erfolgreich. Gerade erschien sein Buch „Solange es leicht ist“. In der Sendung spricht van Veen übers Älterwerden. (Text:ZDF)"
maischberger-ard_739-sendung-vom-01-03-2023-1620071,2023-03-01,maischberger,"Am 1. März enden fast alle bundesweit geltenden Coronamaßnahmen. Ist die Pandemie nach drei Jahren vorbei? Wie ist Deutschland durch die Krise gekommen? Was haben wir für zukünftige Pandemien gelernt? Fragen an Bundesgesundheitsminister Karl Lauterbach (SPD). Sie war die Elbenfürstin Galadriel, sie war Bob Dylan, sie war Königin Elisabeth – nun ist sie Lydia Tár. Für ihre Darstellung der mächtigen und umstrittenen Dirigentin gilt sie als Favoritin für einen Oscar. Über die Rolle von Frauen im Filmbusiness und der Gesellschaft sowie über ihr Engagement für Flüchtlinge spricht Hollywoodstar Cate Blanchett. Es erklären, kommentieren und diskutieren die Autorin und Journalistin Amelie Fried, die stellvertretende Leiterin des Hauptstadtbüros vom Redaktionsnetzwerk Deutschland Kristina Dunz und der Chefredakteur des Nachrichtensenders „Welt“ Jan Philipp Burgard. (Text:3sat)"
markus-lanz_1315-folge-1315-1328328,2019-10-31,Markus Lanz,"Karl-R. Korte, Politikwissenschaftler Der Parteienforscher beleuchtet das thüringische Wahlergebnis auf bundespolitischer und gesellschaftlicher Ebene. Er sagt: „Die kollateralen Effekte von Landtagswahlen sind gewaltig.“ Giovanni di Lorenzo, Journalist In Deutschland wird derzeit eine hitzige Diskussion über die sich verändernde Debattenkultur und die Meinungsfreiheit geführt. Der „ZEIT“-Chefredakteur analysiert die Kontroverse. Stefan Kruecken, Autor Der Verleger wurde nach zahlreichen Äußerungen gegen politische Extreme mehrfach Opfer von Anfeindungen und Hasskommentaren. Trotzdem sagt er: „Schweigen ist keine Option.“ Doris Dörrie, Filmemacherin „Ich bin süchtig nach guten Geschichten“, sagt die Regisseurin des Kultfilms „Männer“, die auch eine erfolgreiche Autorin ist. Sie spricht über ihre Liebe fürs Lesen und Schreiben. Bodo Förster, Elefantentrainer Seit über 20 Jahren betreibt er in Nordthailand ein Elefanten-Camp und setzt sich für den Schutz der Dickhäuter ein. Der Thüringer erzählt von seiner Arbeit mit der bedrohten Tierart. (Text:ZDF)"
maybrit-illner_785-terror-in-sri-lanka-krieg-der-religionen-1282579,2019-04-25,Maybrit Illner,"Gäste: Wolfgang Bosbach (CDU, langjähriger Bundestagsabgeordneter und Innenpolitiker), Mürvet Öztürk (Islamwissenschaftlerin), Aiman A. Mazyek (Vorsitzender des Zentralrats der Muslime in Deutschland (ZMD)), Peter R. Neumann (Terrorismus-Experte), Philipp Möller (Pädagoge) Über 350 Menschen getötet, mehr als 500 verletzt: Höchstwahrscheinlich waren es islamistische Terroristen, die in Sri Lanka gezielt Christen ins Visier nahmen, die gerade die Ostermesse feierten. War es Rache für das Attentat auf betende Muslime im Neuseeländischen Christchurch? Droht eine Spirale der Vergeltung? Wie lässt sich die Radikalisierung stoppen? Ist Religion nur ein Vorwand für die Täter, oder trägt sie den Keim zur Gewalt in sich? Wäre die Welt friedlicher ohne Religionen? (Text:ZDF)"
maischberger-ard_818-sendung-vom-29-05-2024-1720446,2024-05-29,maischberger,"* Debatte um Einsatz westlicher Waffen in Russland: Darüber diskutieren der CDU-Außenpolitiker Norbert Röttgen und Amira Mohamed Ali, Vorsitzende des Bündnis Sahra Wagenknecht (BSW) * Schwächelnde Wirtschaft und Umgang mit der AfD: Im Gespräch mit dem langjährigen BDI-Präsident und früheren Vize-Chef der AfD Hans-Olaf Henkel. * Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Autorin und Stern-Kolumnistin Jagoda Marinić und der Chefredakteur von Table.Briefings Michael Bröcker. (Text:ARD)"
markus-lanz_1494-folge-1494-1443533,2021-02-18,Markus Lanz,"Jürgen Trittin, Politiker Der „Grünen“-Politiker nimmt Stellung zu Ausstiegsszenarien aus dem Lockdown, zur Baustopp-Debatte um die Ostseepipeline „Nord Stream 2“ und zur Diskussion um Eigenheime. Thea Dorn, Philosophin Die Autorin und Moderatorin der ZDF-Sendung „Das Literarische Quartett“ reflektiert die gesellschaftlichen Folgen des Lockdowns und dessen Auswirkungen auf den Zusammenhalt. Thielko Grieß, Journalist Der Russland-Experte berichtet aus Moskau über die dortige innenpolitische Lage nach der Verurteilung des Kreml-Kritikers Alexej Nawalny, die landesweit zu Protesten geführt hat. Wolfram Weimer, Journalist Der Verleger des Magazins „The European“ analysiert die Chancen der „Grünen“ im Super-Wahljahr 2021 sowie die aktuelle Corona- und Russlandpolitik Deutschlands. (Text:ZDF)"
markus-lanz_1693-sendung-vom-30-06-2022-1563726,2022-06-30,Markus Lanz,"Janine Wissler, Politikerin Die am Wochenende wiedergewählte Co-Vorsitzende der Linkspartei nimmt Stellung zum Krieg in Osteuropa und zur Haltung ihrer Partei zu Russland und der NATO. Gerhart Baum, Politiker Der Ex-Bundesinnenminister (FDP) äußert sich zu den geostrategischen sowie völker- und menschenrechtlichen Folgen des Überfalls Russlands auf die Ukraine. Marina Kormbaki, Journalistin Die Politikexpertin („The Pioneer“) analysiert die deutsche Außen- und Sicherheitspolitik. Zudem äußert sie sich zu Auftritt und Aufstellung der Linkspartei. Prof. Karl Schlögel, Historiker Der Osteuropahistoriker blickt zurück auf die Staatenbildung Russlands und der Ukraine, und er erläutert, warum das Verhältnis beider Länder so konfliktreich ist. (Text:ZDF)"
maischberger-ard_748-sendung-vom-25-04-2023-1633623,2023-04-25,maischberger,"Frankreichs Präsident Emmanuel Macron fordert von der EU mehr „strategische Autonomie“ gegenüber den USA: Wie sollen wir künftig mit China und Russland umgehen? Sollte Deutschland mehr Führung in Europa übernehmen? Darüber diskutieren der langjährige SPD-Parteivorsitzende und Bundesaußenminister a.D. Sigmar Gabriel sowie der ehemalige CDU-Parteivorsitzende und Außenpolitiker Armin Laschet. Fünf Jahre lang berichtete ARD-Moskaukorrespondent Demian von Osten täglich über die Politik und das Leben in Russland. Im Interview erklärt er, was die russische Bevölkerung über den Ukraine-Krieg denkt und was eine Niederlage für Kreml-Chef Wladimir Putin bedeuten würde. Es erklären, kommentieren und diskutieren der Kabarettist Urban Priol, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke sowie der Kolumnist und Autor Hajo Schumacher. Gäste u.a.: Sigmar Gabriel, SPD (Bundesaußenminister a.D.) Armin Laschet, CDU (Außenpolitiker und ehemaliger CDU-Vorsitzender) Demian von Osten (ARD-Moskaukorrespondent) Urban Priol (Kabarettist) Susanne Gaschke (Neue Zürcher Zeitung) Hajo Schumacher (Kolumnist und Autor) (Text:ARD)"
markus-lanz_1492-folge-1492-1443531,2021-02-16,Markus Lanz,"Elmar Theveßen, Journalist Der ZDF-USA-Korrespondent informiert direkt aus Washington über die innenpolitischen Auswirkungen des Freispruchs von Donald Trump im Impeachment-Verfahren. Norbert Röttgen, Politiker Der CDU-Politiker und Chef des Auswärtigen Ausschusses äußert sich zu den Perspektiven seiner Partei im Superwahljahr 2021 und zu aktuellen außenpolitischen Herausforderungen. Corinna Milborn, Journalistin Die in Wien lebende Politikexpertin berichtet über die Corona-Situation in Österreich und über Reaktionen auf die deutschen Grenzschließungen. Roland Bernhard, Landrat Im Kampf gegen die Pandemie startete er in dem von ihm verwalteten Kreis Böblingen ein Pilotprojekt unter anderem mit kostenlosen Corona-Tests. Er erläutert seinen Sonderweg. Helene Bubrowski, Journalistin Die Korrespondentin in der „FAZ“-Parlamentsredaktion analysiert das Ringen der Bundes- und Länderpolitiker, um das Infektionsgeschehen nachhaltig in den Griff zu bekommen. (Text:ZDF)"
markus-lanz_1858-sendung-vom-12-10-2023-1669962,2023-10-12,Markus Lanz,"Linda Teuteberg, FDP-Politikerin Die Ex-Generalsekretärin und Migrationsexpertin der Liberalen äußert sich zur Wahlniederlage ihrer Partei in Hessen und Bayern sowie zur Flüchtlingspolitik der Ampelkoalition. Robert Lambrou, AfD-Politiker Der hessische Fraktionsvorsitzende der „Alternative für Deutschland“ nimmt Stellung zur migrations- und europapolitischen Haltung seiner Partei. Robin Alexander, Journalist Der „Welt“-Vize spricht über Versäumnisse in der deutschen Flüchtlingspolitik und über die Schwäche der FDP. Zudem analysiert er die Programmatik und Rhetorik der AfD. Belit Onay, Bündnis 90/​Die Grünen Laut neuer Zuweisungsquote muss der OB von Hannover bis März 2024 über 800 Menschen aufnehmen. Er schildert, wie herausfordernd der Flüchtlingszustrom für seine Stadt ist. (Text:ZDF)"
markus-lanz_1616-sendung-vom-04-01-2022-1521699,2022-01-04,Markus Lanz,"Sigmar Gabriel, Außenminister a.D. Ein Jahr nach dem Sturm auf das Kapitol äußert sich der Ex-Vize-Kanzler (SPD) zum Zustand der US-amerikanischen Demokratie und Gesellschaft sowie zu den transatlantischen Beziehungen. Annika Brockschmidt, Historikerin Die Autorin und USA-Expertin erläutert, wie die religiöse Rechte ihren politischen Einfluss in Amerika immer weiter ausbaut und den Parlamentarismus gefährdet. Johannes Hano, Journalist Der ZDF-New-York-Korrespondent spricht über die Corona-Lage in Amerika und die Präsidentschaft Joe Bidens. Zudem stellt er seine ZDF-Doku „Arctic Blue – Machtpoker im schmelzenden Eis“ vor. (Text:ZDF)"
markus-lanz_1744-sendung-vom-01-12-2022-1599835,2022-12-01,Markus Lanz,"Christian Dürr, Politiker Der FDP-Fraktionschef nimmt Stellung zur Debatte um die geplante Reform des Staatsbürgerschaftsrechts sowie zu den steuerpolitischen Differenzen innerhalb der Ampelkoalition. Ulrike Herrmann, Journalistin Die Bestsellerautorin und „taz“-Wirtschaftsredakteurin analysiert die deutsche Einwanderungspolitik und hinterfragt die finanz- und wirtschaftspolitische Ausrichtung der Liberalen. Jan Gierke, Personalberater Er spricht über die Zukunftsfähigkeit des deutschen Arbeitsmarktes und über zuwanderungspolitische Maßnahmen zur Abfederung des Fachkräftemangels. Karen Pittel, Ökonomin Die Leiterin des ifo Zentrums für Energie, Klima und Ressourcen äußert sich zum Zustand der Staatsfinanzen sowie zur Energieversorgungslage und Gaspreisentwicklung. (Text:ZDF)"
anne-will_535-das-ende-von-oel-und-gasheizungen-hoechste-zeit-oder-ueberstuerzter-plan-1632926,2023-04-23,Anne Will,"Heizen in Deutschland soll klimafreundlich werden. Aber wie? Die Bundesregierung hat sich jetzt geeinigt: Von kommendem Januar an sollen möglichst alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien laufen. Über Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten wurde bis zuletzt gerungen. Und das Ringen geht weiter. Reichen Fachpersonal und Material, um die Pläne der Bundesregierung in den kommenden Jahren umzusetzen? Ist das Förderkonzept zum Einbau klimafreundlicher Heizungen ausreichend? Gleichzeitig verschärft sich die Wohnungskrise in Deutschland: Führt die Wärmewende dazu, dass Wohnen teurer wird und sich der Traum vom Eigenheim für viele nicht erfüllen kann? Zu Gast bei Anne Will: Klara Geywitz (SPD), Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen Jens Spahn (CDU), Präsidiumsmitglied, stellv. Fraktionsvorsitzender im Bundestag Kai H. Warnecke, Präsident Zentralverband Haus & Grund Deutschland e.V. Hermann-Josef Tenhagen, Wirtschaftsjournalist und Chefredakteur „Finanztip“ Ann-Kathrin Büüsker, Hauptstadtkorrespondentin u.a. für Klima- und Energiepolitik Deutschlandfunk (Text:ARD)"
hart-aber-fair_697-schulden-sparen-oder-steuern-hoch-wer-redet-im-wahlkampf-ehrlich-uebers-geld-1492715,2021-09-06,hart aber fair,"Die Gäste: Carsten Linnemann (CDU, stv. Fraktionsvorsitzender der CDU/​CSU Bundestagsfraktion, Bundesvorsitzender der Mittelstands- und Wirtschaftsunion) Lars Klingbeil (SPD, Generalsekretär) Jörg Meuthen (AfD, Bundessprecher) Tarek Al-Wazir (B’90/​Grüne, Hessischer Wirtschaftsminister; Stellvertreter des hessischen Ministerpräsidenten) Cerstin Gammelin (stv. Redaktionsleiterin Parlamentsbüro Berlin der Süddeutschen Zeitung) Ob Coronaschulden oder Energiewende: Die nächste Regierung braucht viel Geld. Aber woher soll das kommen? Höhere Schulden oder höhere Steuern? Quer durch Deutschland hat „hart aber fair“ die Fragen der Menschen gesammelt – die Diskussion dazu im Studio! (Text:ARD)"
maybrit-illner_979-krieg-einfrieren-vor-putin-kapitulieren-1705268,2024-03-21,Maybrit Illner,"Gäste: Lars Klingbeil (SPD, Parteivorsitzender), Amira Mohamed Ali (Bündnis Sahra Wagenknecht, Parteivorsitzende), Leonid Volkov (Nawalny-Vertrauter), Sabine Adler (Autorin, langjährige Moskau-Korrespondentin Deutschlandfunk), Paul Ronzheimer (stellv. Bild-Chefredakteur und Kriegsberichterstatter) Putin bleibt an der Macht, gestärkt durch eine Wahl, die den Namen nicht verdient. Die Ukraine ist militärisch in der Defensive. Es fehlt ihr an Menschen und Munition. Ist das der richtige Zeitpunkt, um „wieder mehr über den Frieden zu sprechen“, den Krieg gar „einzufrieren“, wie der SPD-Fraktionsvorsitzende Mützenich formuliert? Opposition und Ampel-Partner sind jedenfalls entsetzt. Der Bundeskanzler bleibt bei seinem „Basta“ zum Taurus und nennt die Debatte in Deutschland peinlich und lächerlich, während Grüne und FDP im Bundestag am liebsten mit der Union die Lieferung des Taurus beschließen würden. Geht so Regieren in gefährlichen Zeiten? Will der Bundeskanzler auch wieder „mehr über den Frieden reden“? Haben die Sozialdemokraten die Ukraine in Teilen aufgegeben, oder sind sie nur ehrlicher als andere westliche Unterstützer? (Text:ZDF)"
maybrit-illner_930-neuer-minister-alte-probleme-letzte-chance-fuer-die-zeitenwende-1611465,2023-01-19,Maybrit Illner,"Gäste: Kevin Kühnert (SPD, Generalsekretär), Serap Güler (CDU, MdB, Mitglied des Verteidigungsausschusses, CDU-Bundesvorstandsmitglied), Carlo Masala (Militärexperte, Professor für Internationale Politik, Universität der Bundeswehr in München), Anna Sauerbrey (Journalistin, Koordinatorin Außenpolitik bei der Zeit), Thomas Kleine-Brockhoff (Außenpolitik-Experte beim German Marshall Fund of the United States (GMF)), André Wüstner (Oberst, Vorsitzender des Deutschen Bundeswehrverbandes) Boris Pistorius ist der neue Bundesverteidigungsminister. Ist das für Scholz nun der Befreiungsschlag oder eher ein Armutszeugnis für die angeschlagene Ampelregierung? Kann Deutschland seine Bundeswehr und die Ukraine gleichzeitig aufrüsten? Was wird der neue Verteidigungsminister den Verbündeten bei der Ramstein-Konferenz am Freitag anbieten? Ist der Leopard-Panzer für Kiew längst beschlossene Sache? Woher und wie schnell kommen die vielen Waffen? Wird die Aufrüstungsspirale in Verhandlungen mit Russland münden, oder droht ein jahrelanger Abnutzungskrieg? (Text:ZDF)"
maybrit-illner_988-europa-hat-gewaehlt-kiews-schicksal-ungewiss-1722669,2024-06-13,Maybrit Illner,"Gäste: Lars Klingbeil (SPD, Parteivorsitzender), Norbert Röttgen (CDU, Mitglied Auswärtiger Ausschuss), Amira Mohamed Ali (BSW, Parteivorsitzende), Wolfgang Ischinger (Langjähriger Diplomat), Nicole Deitelhoff (Friedens- und Konfliktforscherin) Wiederaufbaukonferenz in Berlin, Friedenskonferenz in der Schweiz, und überall auch die Bitte um Waffen: Der ukrainische Präsident Selenskyj reist durch Europa – und das ist gespalten. Die Gemeinschaft seiner größten Unterstützer ist nach der Europawahl so mit sich selbst beschäftigt wie lange nicht. Die Erfolge von Rechten und Populisten schwächen die Solidarität mit der Ukraine. Frankreichs Präsident Macron ruft Neuwahlen aus. Friedenskanzler Olaf Scholz wird an der Wahlurne abgestraft. Ist Russland einer der Gewinner dieser Europawahl? Bröckelt die Unterstützung für die Ukraine? Gibt Europa viel Geld aus, das der Ukraine wenig hilft? (Text:ZDF)"
markus-lanz_1756-sendung-vom-19-01-2023-1611468,2023-01-19,Markus Lanz,"Daniel Günther, Politiker Der Ministerpräsident Schleswig-Holsteins (CDU) äußert sich zur Bildungs- und Energiepolitik. Zudem erläutert er, wie er verstärkt Zukunftsindustrien im Norden ansiedeln möchte. Roman Pletter, Journalist Mit Blick auf das Pokern um die „Northvolt“-Batteriefabrik in Heide äußert sich der „Zeit“-Wirtschaftsexperte zur Zukunfts- und Wettbewerbsfähigkeit des Wirtschaftsstandorts Deutschland. Heinz-Peter Meidinger, Pädagoge Der Präsident des Deutschen Lehrerverbandes äußert sich zu Mängeln im Bildungssystem, dem Fehlen von Lehrkräften und seiner Forderung nach einer Migrantenquote für Schulklassen. Cordula Heckmann, Schulleiterin Die von ihr geführte Rütli-Schule in Berlin-Neukölln wandelte sich von der Problem- zur Vorzeigeschule. Heckmann erzählt, mit welchen Maßnahmen und Konzepten das gelang. (Text:ZDF)"
maischberger-ard_830-sendung-vom-24-09-2024-1745306,2024-09-24,maischberger,"Mögliche Koalitionen von CDU und BSW: Es diskutieren der Erste Parlamentarische Geschäftsführer der Unionsfraktion Thorsten Frei (CDU) und Sevim Dağdelen, Außenpolitikerin des Bündnis Sahra Wagenknecht (BSW). Wahl in Brandenburg: SPD knapp vor AfD: Im Gespräch der langjährige Ministerpräsident von Brandenburg Matthias Platzeck (SPD). (Text:ARD)"
markus-lanz_1662-sendung-vom-20-04-2022-1545641,2022-04-20,Markus Lanz,"Ralf Stegner, Politiker Der SPD-Politiker nimmt Stellung zur aktuellen Performance seiner Partei, der Kritik am Führungsstil von Olaf Scholz sowie zum Streit über Waffenlieferungen an die Ukraine. Dr. Sabine Fischer, Politologin Die Russland-Expertin der Stiftung Wissenschaft und Politik analysiert die neue Strategie des russischen Militärs. Sie prognostiziert: „Der Charakter des Krieges wird sich deutlich verändern.“ Tichon Dsjadko, Journalist Im März floh der Chefredakteur des letzten unabhängigen russischen TV-Senders „Doschd“ nach Georgien. Er spricht über die Repressalien des Putin-Regimes gegenüber Kritikern und freier Presse. Prof. Clemens Fuest, Ökonom Der Präsident des ifo-Instituts äußert sich zu den Folgen des Krieges in Osteuropa für die deutsche Wirtschaft sowie zu möglichen Auswirkungen eines Energie-Embargos gegen Russland. (Text:ZDF)"
markus-lanz_1646-sendung-vom-15-03-2022-1537770,2022-03-15,Markus Lanz,"Markus Söder, Politiker Der Ministerpräsident Bayerns und CSU-Chef nimmt Stellung zum Umgang mit Ukraine-Flüchtlingen sowie zu den Rekord-Energiepreisen. Daniela Schwarzer, Politologin Die Direktorin für Europa und Eurasien der Open Society Foundations analysiert die internationalen diplomatischen Bemühungen um eine Beendigung des Russland-Ukraine-Krieges. Katrin Eigendorf, Journalistin Zugeschaltet aus Odessa berichtet die ZDF-Reporterin über die aktuelle Lage in der Ukraine. Sabine Fischer, Politologin Die Russland-Expertin von der Stiftung Wissenschaft und Politik spricht über die Informationspolitik und Kriegsstrategie des Kremls sowie über die Stimmung in der russischen Bevölkerung. Marcel Fratzscher, Ökonom Der Präsident des Deutschen Instituts für Wirtschaftsforschung äußert sich zu den Gründen und Folgen der Benzinpreis-Entwicklung und skizziert mögliche Gegenmaßnahmen seitens der Politik. (Text:ZDF)"
maybrit-illner_788-skandal-in-oesterreich-schadet-das-den-populisten-1288285,2019-05-23,Maybrit Illner,"Gäste: Alexander Gauland (AfD, Partei- und Fraktionsvorsitzender), Sabine Leutheusser-Schnarrenberger (FDP, ehemalige Justizministerin), Barbara Tóth (österreichische Journalistin („Falter“) und Autorin), Nadine Lindner (Korrespondentin im Hauptstadtstudio des „Deutschlandradios“), Jörn Kruse (ehemaliger Vorsitzender der Hamburger AfD-Fraktion) Es geht um rechte Saubermänner, die kein Problem mit schmutzigen Geschäften haben, solange diese nicht öffentlich werden. FPÖ-Chef Heinz-Christian Strache musste als Vizekanzler zurücktreten, in Österreich zerfällt die Regierung. Was bedeutet der Skandal für die FPÖ und ihre Schwesterparteien? Zum Beispiel für die AfD in Deutschland? Schadet der Skandal den Populisten in Europa so kurz vor der Wahl? (Text:ZDF)"
maischberger-ard_835-sendung-vom-09-10-2024-1748311,2024-10-09,maischberger,"Grüne unter Druck: Streit um Migration und schlechte Umfragewerte: Im Gespräch der Landwirtschaftsminister und langjährige Parteivorsitzende Cem Özdemir (B’90/​Grüne). Hohe Erwartungen vor Ukrainekonferenz in Ramstein: Im Gespräch der frühere Nato-Generalsekretär Anders Fogh Rasmussen und die Expertin für Sicherheitspolitik Claudia Major. Es kommentieren: der Fernsehmoderator Günther Jauch, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und die Autorin der Neuen Zürcher Zeitung Susanne Gaschke. (Text:3sat)"
markus-lanz_1234-folge-1234-1276162,2019-03-26,Markus Lanz,"Jürgen Trittin, Politiker Vor 40 Jahren gründete sich eine ökologische Listenverbindung unter dem Namen „Die Grünen“. Trittin erinnert sich an die Entstehung der Partei und sagt, wie er über „Fridays for Future“ denkt. Dagmar Rosenfeld, Journalistin Sie sagt: „Der grüne Politikstil ist letzten Endes der einer bürgerlichen Partei geworden.“ In der Sendung äußert sich Rosenfeld zur Entwicklung der Grünen. Juli Zeh, Juristin und Schriftstellerin Zeh ist eine leidenschaftliche „Pferdefrau“ und Pferdeverhaltenstherapeutin. Sie spricht über ihr Buch „Gebrauchsanweisung für Pferde“ und sagt, wie sie die Anfangszeit der Grünen erlebte. Kaya Yanar, Comedian „Das ist hier aber nicht so wie in Deutschland!“ ist die Beschreibung eines Mannes, der zu Hause als Türke und im Ausland als Deutscher gilt. Er sagt, welche Probleme das mit sich bringt. (Text:ZDF)"
caren-miosga_23-fortschritt-oder-rueckschritt-sind-sie-ein-mann-fuer-morgen-herr-merz-1752906,2024-10-13,Caren Miosga,"Seit wenigen Wochen ist klar: Friedrich Merz, der einst der Politik den Rücken kehrte, will Bundeskanzler werden. Als Oppositionsführer im Bundestag setzt der CDU-Vorsitzende die Bundesregierung dauerhaft unter Druck, fordert eine deutlich restriktivere Migrationspolitik und will mit einer Agenda 2030 die weiterhin schwächelnde deutsche Wirtschaft wieder in Schwung bringen. Welche Rolle soll Deutschland zukünftig in der Welt spielen? Wie würde seine Ukraine-Politik aussehen? Und wie will Merz die Migrationspolitik neu ausrichten und den wirtschaftlichen Aufschwung schaffen? Zu Gast: Friedrich Merz, CDU-Bundesvorsitzender (Text:ARD)"
caren-miosga_17-nach-den-landtagswahlen-in-sachsen-und-thueringen-1739024,2024-09-01,Caren Miosga,Deutschland blickt am Sonntag mit Spannung auf die Landtagswahlen in Sachsen und Thüringen. Die Entscheidung der Wählerinnen und Wähler könnte die politische Landschaft nachhaltig verändern. Wie groß wird der Druck auf die Ampel in Berlin? Wird die AfD in beiden Ländern stärkste Kraft? Muss die CDU mit dem Bündnis Sahra Wagenknecht zusammenarbeiten? Die Gäste: Thomas de Maizière (CDU/​ Bundesminister a.D.) Anne Hähnig (Redaktionsleiterin ZEIT ONLINE) Robin Alexander (stellvertretender Chefredakteur DIE WELT) (Text:ARD)
maischberger-ard_810-sendung-vom-23-04-2024-1713450,2024-04-23,maischberger,
markus-lanz_1332-folge-1332-1339817,2019-12-11,Markus Lanz,"Elmar Theveßen, Journalist Die Demokraten haben die Anklage gegen Trump präsentiert. Der USA-Korrespondent des ZDF analysiert die neuesten Entwicklungen im Amtsenthebungsverfahren gegen den US-Präsidenten. John C. Kornblum, Ex-US-Botschafter Der frühere US-Botschafter in Deutschland erklärt, warum er glaubt, dass Trump seines Amtes nicht enthoben wird. Und er erläutert, warum er ein Befürworter des Demokraten Joe Biden ist. Rainer Bock, Schauspieler Er drehte schon mit Quentin Tarantino und Steven Spielberg und ist am 15.12. im ZDF-Film „Weihnachten im Schnee“ zu sehen. Er erzählt von seinem außergewöhnlichen Lebensweg. Madelaine Böhme, Geowissenschaftlerin Im Allgäu hat die Paläontologin die Knochen eines 11,6 Millionen Jahre alten Primaten entdeckt. Sie spricht über die Bedeutung dieses Sensationsfundes und über ihre Liebe zu ihrer Arbeit. (Text:ZDF)"
markus-lanz_1900-sendung-vom-01-02-2024-1692968,2024-02-01,Markus Lanz,"Konstantin Kuhle, FDP-Politiker Der Fraktionsvize der Liberalen nimmt Stellung zur Performance der Bundesregierung, dem knappen FDP-Mitgliedervotum zum Ampelverbleib sowie zur Subventions- und Energiepolitik. Kristina Dunz, Journalistin Die stellvertretende Chefredakteurin vom „RedaktionsNetzwerk Deutschland“ analysiert die Krise der FDP sowie die Rhetorik und den Führungsstil von Parteichef Christian Lindner. Gunter Erfurt, Manager Der CEO des angeschlagenen Solarkonzerns Meyer Burger erläutert seine Kritik an der Technologiepolitik Europas und äußert sich zum harten Wettbewerb mit chinesischen Herstellern. Dirk Neubauer, Landrat In seinem Landkreis Mittelsachsen befindet sich ein von der Schließung bedrohtes Meyer Burger-Werk. Über die Folgen sagt er: „Wir reden von einer fünfstelligen Zahl an Arbeitsplätzen.“ (Text:ZDF)"
